page,year,date,locality,union_troops_engaged,union_killed,union_wounded,union_missing,confederate_killed,confederate_wounded,confederate_missing,remarks
,,Jan. 8th,"Charleston, Missouri",10th Iowa Volunteers,8,16,,,,,"Report of Adjutant General of Iowa, 1863, page 844; 1865, page 185"
,,Jan. 8th,"Dry Forks, Cheat River, West Virginia",One company of the 2d West Virginia Cavalry,,6,,6,,,Unofficial
,,Jan. 8th,"Silver Creek, Randolph County, Missouri","Detachments of the 1st and 2d Missouri, 4th Ohio, and 1st Iowa Cavalry",5,6,,,80,,"Report of Adjutant General of Missouri. 1865, page 309. Also known as Roan's Tan Yard and Sugar Creek. Official Report of Major Torrence, 1st Iowa, commanding"
,,Jan. 9th,"Columbus, Missouri",7th Kansas Cavalry,5,,,,,,Official
,,Jan. 10th,"Middle Creek and Prestonburg, Kentucky",40th and 42d Ohio and 14th and 22d Kentucky Vols,2,25,,40,,25,"Official Report of Colonel J. A. Garfield, com’ding"
,,Jan. 19th and 20th,"Mill Springs, Kentucky","9th Ohio, 2d Minnesota, 4th Kentucky, and 10th Indiana Volunteers and 1st Kentucky Cavalry. Commanded by Brigadier General G. II. Thomas",38,194,,190,160,89,"Official Report of Brigadier General George II. Thomas, U. S. A. Appendix, Part I, Medical and Surgical History of the War, page 24, Also known as Logan's Cross Ronds, Fishing Creek, Somerset, and Beech Grove. The Confederate General F. K. Zollikolfer was killed"
,,Jan. 22d,"Knob Noster, Missouri",2d Missouri Cavalry,1,,,,,,Official
,,Jan. 29th,"Occoquan Bridge, Virginia","Detachments of 37th New York Volunteers and 1st New Jersey Cavalry. Commanded by Lieut. Colonel  J. Burke, 37th N. Y",1,4,,10,,,"Special Order No. 31, Headquarters Army of the Potomac, January 31, 1862"
,,Feb. 1st,"Bowling Green, Kentucky",One company of the 2d Indiana Cavalry,,,,3,2,,"Statement of Captain J. P. Pres dee, Co. II, 2d Indiana Cavalry"
,,Feb. 2d,"Morgan County, Tennessee",,7,,,,,,Confederate sources
,,Feb. 6th,"Fort Henry, Tennessee","U. S. gunboats Essex, Carondelet, St. Louis, Cincinnati, • Conestoga, Tyler, and Lexington",,40,,5,11,63,"Official Reports of Flag Officer A. H. Foote, U. S. N., and Brigadier General U. S. Grant, U. S. A. Appendix, Part I, Medical and Surgical History of the War, page 24"
,,Feb. 8th,"Linn Creek, Logan County, Virginia",Detachment of 5th West Virginia Volunteers,1,1,,8,7,16,
,,Feb. 8th,"Roanoke Island, North Carolina","U. S. gunboats Southfield, Delaware, Stars and Stripes, Louisiana, Hetzel, Commodore Perry, Underwriter, Valley City, Commodore Barney, Hunchback, Ceres, Putnam, Morse, Lockwood, J. N. Seymour, Granite, Brinker. Whitehead, Shawseen, Picket, Pioneer, Hussar, Vidette. Chasseur; 21st, 23d, 24th, 25th, and 27th Massachusetts, 10th Connecticut, 9th, 51st, and 53d New York, 9th New Jersey, 51st Pennsylvania, and 4th and 5th Rhode Island Volunteers",35,200,,16,39,2527,"List of casualties, File A, No. 328, S. G. O. Official Reports of Brigadier General A. E. Burnside, commanding army, and Commodore L. M. Goldsborough, commanding navy. Appendix, Part I. Medical and Surgical History of the War, p. 236"
,,Feb. 10th,"Elizabeth City, North Carolina","U. S. gunboats Delaware, Underwriter, Louisiana, Seymore , Hetzel, Shawseen, Valley City, Putnam, Commodore Perry, Ceres, Morso, Whitehead, and Brinker",3,,,,,,"Official Report of Commander S. C. Rowan, U. S. N. Also designated Cobb’s Point"
42,,Feb. 13th,"Blooming Gap, Virginia",1st West Virginia Cavalry and 8th Ohio and 7th West Virginia Volunteers,2,5,,13,,75,"Official Report of Brigadier General F. W. Lander, commanding"
,,Feb. 14th,"Flat Lick Fords, Cumberland River, Ky.","49th Indiana Volunteers and 6th Kentucky Cavalry. Colonel R. Munday, commanding",,,,4,4,3,Newspaper statement
,,"Feb. 14th, 15th, and 16th","Fort Donelson, Tennessee","17th and 25th Kentucky, 1th. 25th, 31st, and 44th Indiana, 2d, 7th. 12th, and 14th Iowa, 1st Nebraska, 58th and 76th Ohio, 8th and 13th Missouri. 8th Wisconsin , and 8th, 9th. 11th, 12th, 17th. 18th. 20th. 28th, 29th, 30th, 3lst, 41st. 45th. 46th, 48th, 49th, 57th, and 58th Illinois Volunteers; Batteries B and D, 1st. and D and E, 2d Illinois Artillery; four companies Illinois Cavalry, and Birges’s Sharp-shooters, and six gun-bouts",446,1735,150,231,1067,13829,"Appendix to Part I, Medical and Surgical History of the War, page 25. Official Reports of Brigadier General L. S. Grant, Commodore A. H. Foote, U. S. N., and Brigadier General G. J. Pillow, C. S. A. Sometimes called Dover"
,,Feb. 14th,"Marshfield, Missouri",6th Missouri and 3d Illinois Cavalry,,,,,,,"Report of Adjutant General of Missouri, 1865, p. 346"
,,Feb. 15th,"Bowling Green, Kentucky. Occupied",7th Illinois Cavalry and 10th Illinois Volunteers (detachments of Halleck's Army),,,,,,,Official Report of Brigadier General D. C. Buell
,,Feb. 17th,"Sugar Creek, Missouri",1st and 6th Missouri and 3d Illinois Cavalry,5,9,1,,,,"Report of Adjutant General of Missouri, 1865, pages 310 and 346, Also called Pea Ridge"
,,Feb. 18th,"Independence, Missouri",2d Ohio Cavalry,1,3,,4,5,5,"Ohio in the War, Vol. 2, page 757"
,,Feb. 21st,"Valverde, New Mexico","Detachments of the 1st, 2d, and 5th New Mexico Volunteers ; 1st New Mexico and 2d Colorado Cavalry. Detachments of the 5th, 7th, and 10th U. S. Infantry, and Hall's and McRae's Batteries. Commanded by Col. E. R. S. Canby, U. S. A",62,140,,,150,,"Casualties, Files D, No. 49. and F, No. 261, S. G. O. Appendix to Part I, Medical and Surgical History of the War, page 346. Also known as Fort Craig"
,,Feb. 24th,"Mason’s Neck, Occoquan, Virginia",37th New York Volunteers,2,1,,,,,Newspaper statement
,,Feb. 26th,"Keytesville, Barry County, Missouri",6th Missouri Cavalry,2,1,1,I,,,Official
,,Mar. 1st,"Sykestowu, Missouri",7th Illinois Cavalry and 10th Illinois Volunteers (detachments of Halleck's Army. ),,,1,,,3,Official Report of Major General H. W. Halleck
,,Mar. 2d,"Pittsburg Landing, Tennessee",U. S. gunboats Lexington and Tyler and 32d Illinois Volunteers,5,5,4,20,200,,"List of casualties, File A, No. 570, S. G. O. Official  Report of Commodore A. 11. Foote, U. S. N"
,,Mar. 3d,"New Madrid, Missouri","5th Iowa, 59th Indiana, 39th and 63d Ohio Volunteers and 2d Michigan and 7th Illinois Cavalry (portion of General Halleck’s command. )",1,3,,,,,"Report of Adjutant General of Iowa, 1863, Vol. II, page 183"
,,Mar. 5th,"Occoquan, Virginia",Reconnoitering party of the 63d Pennsylvania Volunteers,2,2,,,,,Unofficial
,,"Mar. 6th, 7th and 8th","Pea Ridge, Arkansas","25th, 35th, 36th, 37th, 44th. and 59th Illinois. 2d, 3d, 12th, 15th, 17th, 24th, and Phelps’ Missouri, 8th, 18th, stud 22d Indiana, and 4th and 9th Iowa Volunteers; 3d Iowa, 3d and 15th Illinois, and 1st, 4th 5th, and 6th Missouri Cavalry; Batteries B and F, 2d Missouri Light Artillery, 2d Ohio Battery, 1st Indiana Battery, and Battery A, 2d Illinois Artillery",203,972,174,1100,2500,1600,"Appendix to Part I, Medical and Surgical History of the War, page 365. List of casualties, File A, Nos. 125 and 570, S. G. O. Official Reports of Brigadier General Samuel R. Curtis, commanding . Includes the engagements at Bentonville  on the 6th, Leetown on the 7th, and Elkhorn Tavern on the 8th. Among the casualties on the Union side were Brigadier General Asboth and Acting Brigadier General Carr, wounded: on the Confederate side, Brigadier General B. McCulloch and Acting Brig. General James McIntosh, killed"
,,Mar. 7th,"Fox Creek, Missouri",4th Missouri Cavalry,,5,,,,,Official
,,Mar. 8th,"Near Nashville, Tennessee",1st Wisconsin Volunteers and 4th Ohio Cavalry,1,2,,4,,4,"Adjutant General’s Report, Wisconsin, 1865, p. 33"
,,Mar. 8th,"Mississippi City, Mississippi",26th Massachusetts Volunteers,,,,,,,"Adjutant General’s Report, Massachusetts, 1862, page 286"
,,Mar. 9th,"Mountain Grove, Missouri",10th Missouri Cavalry,10,2,,,,,Official
,,Mar. 9th,"Hampton Roads, near Newport News, Virginia","Minnesota, Congress, Cumberland, and Monitor; 20th Indiana and 7th and 11th New York Volunteers",261,108,40,7,17,,"List of casualties, File F, No. 85. Monitor and Merrimac. Flag Officer Buchanan, C. S. N., was wounded"
,,Mar. 10th,"Burke’s Station, Virginia",One company 1st New York Cavalry,1,,,3,5,11,
,,Mar. 10th,"Jacksboro’, Big Creek Gap, Tennessee",2d Tennessee Volunteers,,2,,2,4,15,"Adjutant General’s Report, Tennessee, 1866, p. 56"
,,Mar. 11th,"Paris, Tennessee","Detachments of the 5th Iowa and 1st Nebraska Cavalry , and Battery K, 1st Missouri Artillery",5,5,1,,10,5,"Official Report of Major General H. W. Halleck, U. S. A"
43,,Mar. 12th,"Lexington, Lafayette County, Missouri",1st Iowa Cavalry,1,1,,9,3,,
,,Mar. 12th,"Near Lebanon, Missouri",,,,,13,5,20,"Official Report of Major General H. W. Halleck, U. S. A"
,,Mar. 13th,"New Madrid, Missouri","10th and 16th Illinois. 27th, 39th, 43d, and 63d Ohio Volunteers; 3d Michigan Cavalry, 1st U. S. Infantry, and Bissell’s Missouri Engineers",,50,,,100,,"Official Report of Brigadier General John Pope, U. S. A"
,,Mar. 14th,"Newberne, North Carolina","5lst New York, 8th, 10th. and 11th Connecticut, 21st, 23d, 24th, 25th, and 27th Massachusetts, 9th New Jersey, 51 st Pennsylvania, and 4th and 5th Rhode Island Volunteers",91,466,,64,106,413,"Appendix to Part I. Medical and Surgical History of the War. page 237. List of casualties, File A. No. 348, S. G. O. Official Reports of Brigadier General A. E. Burnside, commanding"
,,Mar. 14th,"Pound Gap, Cumberland Mountains, Tennessee","Detachments of the 22d Kentucky, 40th and 42d Ohio Volunteers, and 1st Ohio Cavalry",,,,,,,"Ohio in the War, Vol. 2, page 268. Also known as Sounding Gap"
,,Mar. 16th,"Aquia Creek Batteries, Virginia",U. S. Gunboats Yankee and Anacostia,,,,,,,
,,Mar. 16th,"Black Jack Forrest, Tennessee",Detachments of the 4th Illinois and 5th Ohio Cavalry,,4,,,,2,Official
,,Mar. 18th,"Salem, Arkansas",Detachments of the 6th Missouri and 3d Iowa Cavalry,5,10,,,,100 kwm,Official Report of Major General H. W. Halleck. Also known as Spring River
,,Mar. 21st,"Mosquito Inlet, Florida",U. S. gunboats Penguin and Henry Andrew,8,8,2,,,,"Official Report of Commodore S. F. Dupont, U. S. N"
,,Mar. 22d,"Independence, Missouri",2d Kansas,1,2,,7,,11,Newspaper statement. Also called Little Santa Fe
,,Mar. 23d,"Carthage, Missouri",6th Kansas Cavalry,,1,,,,,Official
,,Mar. 23d,"Winchester, Virginia","1st West Virginia, 84th and 110th Pennsylvania, 5th, 7th, 8th, 29th. 62d, and 67th Ohio, 7th, 13th, and 14th Indiana, and 39th. Illinois Volunteers; 1st West Virginia, 1st Ohio, and Co. E, 4th U. S. Artillery; 1st Michigan and 1st Ohio Cavalry",103,440,24,80,342,269,"List of casualties, File A, No. 345, S. G. O. Appendix to Part I, Medical and Surgical History of the War, page 229. Official Report. Brig. General James Shields, commanding the Union forces, was wounded. Also designated Kearnstown"
,,Mar. 26th,"Warrensburg, Missouri",Sixty men of the 7th Missouri Militia Cavalry,1,22,,9,17,,Also designated Briar
,,Mar. 26th,"Humonsville, Polk County, Missouri","Co. B, 8th Missouri Militia Cavalry",,5,,15,,,Official
,,Mar. 26th to 28th,"Apache Canyon, near Santa F6, New Mexico",1st and 2d Colorado Cavalry,32,75,35,36,60,93,"Official Report of Brigadier General H. F. Sibley, C. S. A. Also known as Glorietta"
,,Mar. 27th,"Strasburg, Virginia",Portion of Brigadier General Banks' command,,,,,,,"Adjutant General’s Report, Michigan, 1862, p. 53"
,,Mar. 28th,"Middleburg, Virginia","28th Pennsylvania Volunteers, Colonel Geary, com’g",,,,,,,Newspaper statements
,,Mar. 28th,"Warrensburg, Missouri",1st Illinois Cavalry,3,1,,15,,25,
,,Mar. 30th,"Union City, Tennessee",2d Illinois Cavalry,,,,,,,Newspaper statement
,,April 2d,"Putnam’s Ferry, near Doniphan, Missouri","5th Illinois Cavalry. 21st and 38th Illinois Volunteers, and 16th Ohio Battery, Colonel Carlin’s Brigade, (General Steele’s command. )",,,,3,,7,"Adjutant General’s Report, Illinois, Vol. III, p. 54"
,,April 4th,"Pass Christian, Mississippi",9th Connecticut and 6th Massachusetts Artillery,,,,,,,Official Report of Major General B. F. Butler
,,April 4th,"Great Bethel, Virginia","Advance of the 3d Corps, Army of the Potomac",4,10,,,,,Official
,,April 5th to May 3d,Siege of Yorktown,"2d, 3d, and 4th Corps, Army of the Potomac",,,,,,,"Official Report of Major General G. B. McClellan. Appendix to Part I, Medical and Surgical His-tory of the War, page 44"
,,April 4th,"Crump’s Landing, Tennessee","5th Ohio Cavalry and 48th, 70th, and 72d Ohio Vols",,2,8,,20,8,"Ohio in the War, Vol. 2, page 779. Also called Adamsville"
,,April 2d,"Thoroughfare Gap, Virginia",28th Pennsylvania Volunteers,,,,,,,Newspaper statements
44,,April 6th and 7th,"Shiloh, Tennessee","1st Division, Major General J. A. McClernand; 2d Division, Major General C. F. Smith; 3d Division, Brigadier General Lewis Wallace; 4th Division, Brigadier General S. A. Hurlburt; 5th Division, Brigadier General W. T. Sherman; and 6th Division , Brigadier General B. M. Prentiss—Army of the District of Western Tennessee, commanded by Major General U. S. Grant: 2d Division. Brigadier General A. M. D. Cook; 4th Division, Brigadier General W. Nelson; 5th Division, Brigadier General T. L. Crittenden ; and the 21st Brigade of the 6th Division— Army of the Ohio, commanded by Major General D. C. Buell; and gunboats Tyler and Lexington",1735,7882,3956,1728,8012,959,"Official Reports of Major Generals U. S. Grant and D. C. Buell, U. S, A., and G. T. Beauregard, C. S. A. Appendix to Part I, Medical and Surgical History of the War, page 37. Also called Pittsburg Lauding. Among the casualties in the Confederate army were Major General A. S. Johnson, commander-in-chief, and Brig. General A. H. Gladden, killed; Major General W. S. Cheatham, Brigadier Generals C. Clark. B. R. Johnson, and J. S. Bowen, wounded. On the Union side, Brigadier Generals W. T. Sherman and W. H. L. Wallace, wounded, and B. M. Prentiss, captured"
,,April 8th,"Island No. 10, Tennessee","Navy, commanded by Flag Officer A. H. Foote; Army, commanded by Major General John Pope",,,,17,,3000,Official Reports of Commodore Foote and Major General Pope. Siege commenced March 16th
,,April 9th,"Owen’s River, California",2d California Cavalry,1,2,,,,,Official
,,April 10th,"Fort Pulaski, Georgia","6th and 7th Connecticut, 3d Rhode Island, 46th and 48th New York, and 8th Maine Volunteers; 15th U. S. Infantry and crew of U. S. S. Wabash",1,,,,4,36C,"Official Report of Major Gen. D. Hunter, U. S. A., commanding"
,,April 11th,"Huntsville, Alabama",3d Division Army of the Ohio,,,,,,200,"Official Report of Brigadier General O. M. Mitchell , U. S. A., commanding"
,,April 11th,"Skirmish before Yorktown, Virginia",12th New York and 57th and 63d Pennsylvania Volunteers ,2,8,,,,,Newspaper statements
,,April 12th,"Little Blue River, Missouri",,,,,5,,17,Newspaper statement
,,April 8th,"Reconnaissance on the Corinth Road, Mississippi","3d Brigade, 5th Division, Army of Western Tennessee, and 4th Illinois Cavalry",,,,15,25,200,Official Report of Brigadier General W. T. Sherman
,,April 12th,"Monterey, Virginia",75th Ohio Volunteers and 1st West Virginia Cavalry,,3,,,,,"Ohio in the War, Vol. 2, page 434"
,,April 14th,"Pollocksville, North Carolina",,,,,,7,1,Confederate sources
,,April 14th,"Diamond Grove, Missouri",6th Kansas Cavalry,,1,,,,,
,,April 14th,"Walkersville, Missouri",2d Missouri Militia Cavalry,2,3,,,,,
,,April 14th,"Montavallo, Missouri",Two companies of 1st Iowa Cavalry,2,6,,2,10,5,"Official Report of the Adjutant General of Iowa, 1863, Vol. II, page 845"
,,April 15th,"Pechacho Pass, D. T.","Pechacho Pass, D. T.",3,3,,,,,"Monthly Report of Sick and Wounded, 5th California Volunteers"
,,April 15th,"Peralto, New Mexico",,,,,,,,Official
,,April 16th,"Savannah, Tennessee",,,,,5,65,,"Rebellion Record, Vol. IV, page 90"
,,April 16th,"Whitemarsh, Georgia",8th Michigan Volunteers and Battery of Rhode Island Light Artillery,10,35,,5,7,,Official Report of Colonel W. U. Fenton. 8th Michigan Volunteers. Also known as Wilmington Island
,,April 16th,"Lee’s Mills, Virginia","3d, 4th, and 6th Vermont Volunteers, 3d New York Battery, and Battery of 5th U. S. Artillery",35,129,9,20,75,50,"Casualty List, File A, No. 538, S. G. O"
,,April 14th,"Fort Pillow, Tennessee, bombarded",,,,,,,,"Official Dispatch of Commodore A. H. Foote, U. S. N"
45,,April 17th,"Holly River, West Virginia",10th West Virginia Volunteers,,3,,2,,,"Rebellion Record, Vol. IV, page 91"
,,April 18th,"Falmouth (near Fredericksburg), Va.",2d New York Cavalry,5,16,,,,19,"Casualty List, File A, No. 571, S. G. O"
,,April 19th,"Talbot’s Ferry, Arkansas",4 th Iowa Cavalry,1,,,3,,,
,,April 19th,"Camden, North Carolina","21st Massachusetts. 51st Pennsylvania, 6th New Hampshire , and 9th and 89th New York Volunteers",12,98,14,6,19,3,"Official Report of Major General A. E. Burnside, U. S. A., and Major General B. Huger, C. S. A. Also known as South Mills"
,,April 18th,"Edisto Island, South Carolina","Crew of U. S. S. Crusader, 3d New Hampshire, and 55th Pennsylvania Volunteers",,3,,,,,Official Report of Commodore S. F. Du Pont
,,April 23d,"Grass Lick, West Virginia",3d Maryland and Potomac Home Brigade,3,,,,,5,Official Report of Major General J. C. Fremont
,,April 25th,"Fort Macon, North Carolina","U. S. gunboats Daylight, State of Georgia, Chippewa, and the bark Gemsbok (commanded by Commander S. Lockwood), and General Parkes’ Division",1,11,,7,18,450,"Official Reports. Brigadier General A. E. Burnside, commanding"
,,April 26th,"Turnback Creek, Missouri",5th Kansas Cavalry,1,,,,,,Official
,,April 26th,"Neosha, Missouri",1st Missouri Cavalry,3,2,,,30,62,Official
,,April 26th,"Redoubt before Yorktown, Virginia",Three companies of the 1st Massachusetts Volunteers,3,16,,,,14,"Casualty List, File A, No. 571, S. G. O"
,,April 27th,"Horton’s Mills, near Newberne, North Carolina",103d New York Volunteers,1,6,,3,,10,
,,April 28th,Paint Rock Railroad Bridge,Twenty-two men of the 10th Wisconsin Volunteers,,7,,,,,"Major General D. C. Buell’s Order, July 21st, 1862"
,,April 18th to Apr. 28th,"Forts Jackson and St. Philip and capture of New Orleans, Louisiana","Fleet of war-vessels, commanded by Commodore D. G. Farragut, and mortar-boats, commanded by Commander  D. D. Porter",36,193,,185,197,400,"Official Report of Commodore D. G. Farragut, U. S. N"
,,April 28tb,"Cumberland Mountain, Tennessee",22d Kentucky and 16th and 42d Ohio Volunteers,,,,,,,"Ohio in the War, Vol. 2, page 117"
,,April 28th,"Monterey, Tennessee",2d Iowa Cavalry,I,3,,5,,18,"Report of Adjutant General of Iowa, 1863, p. 857"
,,April 29th,"Bridgeport, Alabama",3d Division Army of the Ohio,,,,,72 kw,350,"Official Report of Brigadier General O. M. Mitchell, commanding"
