battle,belligerent,description,commanders,strength,regiments,companies,brigades,divisions,corps,armies,cavalry_regiments,cavalry_brigades,cavalry_divisions,cavalry_corps,cavalry_companies,artillery_batteries,artillery_companies,artillery_regiments,artillery_sections,infantry_regiments,strength_other,ships,guns
GA014,US,"XX and XXIII Army Corps, Military Division of the Mississippi","[{'fullname': 'Joseph Hooker', 'last_name': 'Hooker', 'first_name': 'Joseph', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'John M. Schofield', 'last_name': 'Schofield', 'first_name': 'John', 'middle_name': 'M.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
GA015,CS,Army of Tennessee,"[{'fullname': 'Joseph E. Johnston', 'last_name': 'Johnston', 'first_name': 'Joseph', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
GA015,US,Military Division of the Mississippi,"[{'fullname': 'William T. Sherman', 'last_name': 'Sherman', 'first_name': 'William', 'middle_name': 'T.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
GA016,CS,Army of Tennessee,"[{'fullname': 'John Bell Hood', 'last_name': 'Hood', 'first_name': 'John', 'middle_name': 'Bell', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
GA016,US,"IV and XIV Corps, Army of the Cumberland","[{'fullname': 'George H. Thomas', 'last_name': 'Thomas', 'first_name': 'George', 'middle_name': 'H.', 'rank': 'Major General', 'suffix': ''}]",,,,,,2,,,,,,,,,,,,,,
GA017,CS,Army of Tennessee,"[{'fullname': 'John B. Hood', 'last_name': 'Hood', 'first_name': 'John', 'middle_name': 'B.', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
GA017,US,"Army of the Tennessee, Military Division of the Mississippi","[{'fullname': 'William T. Sherman', 'last_name': 'Sherman', 'first_name': 'William', 'middle_name': 'T.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'James B. McPherson', 'last_name': 'McPherson', 'first_name': 'James', 'middle_name': 'B.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'John A. Logan', 'last_name': 'Logan', 'first_name': 'John', 'middle_name': 'A.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
GA018,CS,"Lee and Stewart's Corps, Army of Tennessee","[{'fullname': 'Stephen D. Lee', 'last_name': 'Lee', 'first_name': 'Stephen', 'middle_name': 'D.', 'rank': 'Lieutenant General', 'suffix': ''}, {'fullname': 'Alexander P. Stewart', 'last_name': 'Stewart', 'first_name': 'Alexander', 'middle_name': 'P.', 'rank': 'Lieutenant General', 'suffix': ''}]",,,,,,2,,,,,,,,,,,,,,
GA018,US,Army of the Tennessee,"[{'fullname': 'Oliver O. Howard', 'last_name': 'Howard', 'first_name': 'Oliver', 'middle_name': 'O.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,2,,,,,,,,,,,,,
GA019,CS,"Bate's Division, Lee's Corps, Army of Tennessee","[{'fullname': 'Stephen D. Lee', 'last_name': 'Lee', 'first_name': 'Stephen', 'middle_name': 'D.', 'rank': 'Lieutenant General', 'suffix': ''}, {'fullname': 'William B. Bate', 'last_name': 'Bate', 'first_name': 'William', 'middle_name': 'B.', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
GA019,US,"XXIII and XIV Corps, Military Division of the Mississippi","[{'fullname': 'John M. Schofield', 'last_name': 'Schofield', 'first_name': 'John', 'middle_name': 'M.', 'rank': 'Major General', 'suffix': ''}]",,,,,,2,,,,,,,,,,,,,,
GA020,CS,Wheeler's Cavalry Corps,"[{'fullname': 'Joseph Wheeler', 'last_name': 'Wheeler', 'first_name': 'Joseph', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
GA020,US,District of Etowah,"[{'fullname': 'James B. Steedman', 'last_name': 'Steedman', 'first_name': 'James', 'middle_name': 'B.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Bernard Laiboldt', 'last_name': 'Laiboldt', 'first_name': 'Bernard', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
GA021,CS,"Jackson's Cavalry Division and Reynold’s Arkansas Brigade, Army of Tennessee","[{'fullname': 'William H. Jackson', 'last_name': 'Jackson', 'first_name': 'William', 'middle_name': 'H.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Daniel Reynolds', 'last_name': 'Reynolds', 'first_name': 'Daniel', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,1,,,,,,1,,,,,,,,,,
GA021,US,"2nd and 3rd Cavalry Divisions, Army of the Cumberland","[{'fullname': 'H. Judson Kilpatrick', 'last_name': 'Kilpatrick', 'first_name': 'H.', 'middle_name': 'Judson', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,2,,,,,,,,,,
GA022,CS,"Hardee and Lee's Corps, Army of Tennessee","[{'fullname': 'William J. Hardee', 'last_name': 'Hardee', 'first_name': 'William', 'middle_name': 'J.', 'rank': 'Lieutenant General', 'suffix': ''}]",,,,,,2,,,,,,,,,,,,,,
GA022,US,Military Division of the Mississippi,"[{'fullname': 'William T. Sherman', 'last_name': 'Sherman', 'first_name': 'William', 'middle_name': 'T.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
GA023,CS,"French's Division, Stewart's Corps, Army of Tennessee","[{'fullname': 'Samuel G. French', 'last_name': 'French', 'first_name': 'Samuel', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
GA023,US,"Detachments of the 3rd and 4th Divisions, XV Corps, Army of the Tennessee","[{'fullname': 'John M. Corse', 'last_name': 'Corse', 'first_name': 'John', 'middle_name': 'M.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,2,,,,,,,,,,,,,,,
GA025,CS,"Wheeler's Cavalry Corps, Department of South Carolina Georgia and Florida; and the 1st Division Georgia Militia","[{'fullname': 'Joseph Wheeler', 'last_name': 'Wheeler', 'first_name': 'Joseph', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Pleasant J. Philips', 'last_name': 'Philips', 'first_name': 'Pleasant', 'middle_name': 'J.', 'rank': 'Brigadier General', 'suffix': ''}]",,1,,,,,,,,,1,,,,,,,,,
GA025,US,"2nd Brigade, 1st Division, XV Army Corps","[{'fullname': 'Charles C. Walcutt', 'last_name': 'Walcutt', 'first_name': 'Charles', 'middle_name': 'C.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
GA026,CS,"Wheeler's Cavalry Corps, Department of South Carolina, Georgia and Florida","[{'fullname': 'Joseph Wheeler', 'last_name': 'Wheeler', 'first_name': 'Joseph', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,1,,,,,,,,,
GA026,US,"3rd Cavalry Division, Military Division of Mississippi","[{'fullname': 'H. Judson Kilpatrick', 'last_name': 'Kilpatrick', 'first_name': 'H.', 'middle_name': 'Judson', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
GA027,CS,"Wheeler's Cavalry Corps, Army of Tennessee","[{'fullname': 'Joseph Wheeler', 'last_name': 'Wheeler', 'first_name': 'Joseph', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,1,,,,,,,,,
GA027,US,"3rd Cavalry Division, Military Division of Mississippi","[{'fullname': 'H. Judson Kilpatrick', 'last_name': 'Kilpatrick', 'first_name': 'H.', 'middle_name': 'Judson', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
GA028,CS,Fort McAllister garrison,"[{'fullname': 'George A. Anderson', 'last_name': 'Anderson', 'first_name': 'George', 'middle_name': 'A.', 'rank': 'Major', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
GA028,US,"2nd Division, XV Army Corps","[{'fullname': 'William B. Hazen', 'last_name': 'Hazen', 'first_name': 'William', 'middle_name': 'B.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
ID001,I,Shoshone Indians,"[{'fullname': 'Bear Hunter', 'last_name': 'Hunter', 'first_name': 'Bear', 'middle_name': '', 'rank': 'Chief', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
ID001,US,District of Utah,"[{'fullname': 'Patrick Edward Connor', 'last_name': 'Connor', 'first_name': 'Patrick', 'middle_name': 'Edward', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
IN001,CS,"Morgan’s Cavalry Division, 1,800","[{'fullname': 'John Hunt Morgan', 'last_name': 'Morgan', 'first_name': 'John', 'middle_name': 'Hunt', 'rank': 'Brigadier General', 'suffix': ''}]",1800,,,,,,,,,,,,,,,,,,,
IN001,US,"Indiana Legion, 400","[{'fullname': 'Lewis Jordan', 'last_name': 'Jordan', 'first_name': 'Lewis', 'middle_name': '', 'rank': 'Brevet Colonel', 'suffix': ''}]",400,,,,,,,,,,,,,,,,,,,
KS001,CS,Quantrill’s Raiders,"[{'fullname': 'William C. Quantrill', 'last_name': 'Quantrill', 'first_name': 'William', 'middle_name': 'C.', 'rank': 'Lieutenant Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
KS001,US,"None, civilian forces only",[],,,,,,,,,,,,,,,,,,,,
KS002,CS,Quantrill’s Raiders,"[{'fullname': 'William C. Quantrill', 'last_name': 'Quantrill', 'first_name': 'William', 'middle_name': 'C.', 'rank': 'Lieutenant Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
KS002,US,"Fort Baxter garrision: one company of the 2nd Kansas United States Colored Troops, portions of C Company and D Company,3rd Wisconsin Cavalry; Blunt's Escort: Company I, 3rd Wisconsin Cavalry, Company A, 14th Kansas Cavalry","[{'fullname': 'James B. Pond', 'last_name': 'Pond', 'first_name': 'James', 'middle_name': 'B.', 'rank': 'Lieutenant', 'suffix': ''}, {'fullname': 'James G. Blunt', 'last_name': 'Blunt', 'first_name': 'James', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}]",,,3,,,,,,,,,2,,,,,,,,
KS003,CS,"Fagan and Marmaduke's Divisions, Army of Missouri, Shelby's Division, Army of Missouri (Little Osage River)","[{'fullname': 'Sterling Price', 'last_name': 'Price', 'first_name': 'Sterling', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,3,,,,,,,,,,,,,,,
KS003,US,"The 1st and 4th Brigades, 2nd Provisional Cavalry Division, Army of the Border, 2nd Brigade, 1st Provisional Cavalry Division, Army of the Border (Mound City and Fort Lincoln)","[{'fullname': 'Alfred Pleasonton', 'last_name': 'Pleasonton', 'first_name': 'Alfred', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,3,,,,,,,,,,,
KS004,CS,"Fagan’s and Marmaduke’s Divisions, Army of Missouri","[{'fullname': 'James F. Fagan', 'last_name': 'Fagan', 'first_name': 'James', 'middle_name': 'F.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'John S. Marmaduke', 'last_name': 'Marmaduke', 'first_name': 'John', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,2,,,,,,,,,,,,,,,
KS004,US,"2nd Provisional Cavalry Division, Army of the Border","[{'fullname': 'Alfred Pleasonton', 'last_name': 'Pleasonton', 'first_name': 'Alfred', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,1,,,,,,,,,,
KY001,CS,approximately 800 men commanded by Col. Joel A. Battle,"[{'fullname': 'Joel A. Battle', 'last_name': 'Battle', 'first_name': 'Joel', 'middle_name': 'A.', 'rank': 'Colonel', 'suffix': ''}]",800,,,,,,,,,,,,,,,,,,,
KY001,US,Home Guard (approximately 300 men),"[{'fullname': 'Isaac J. Black', 'last_name': 'Black', 'first_name': 'Isaac', 'middle_name': 'J.', 'rank': 'Captain', 'suffix': ''}]",300,,,,,,,,,,,,,,,,,,,
KY002,CS,Zollicoffer’s Brigade,"[{'fullname': 'Felix Zollicoffer', 'last_name': 'Zollicoffer', 'first_name': 'Felix', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
KY002,US,Camp Wildcat Garrison and Schoepf’s Brigade,"[{'fullname': 'Albin F. Schoepf', 'last_name': 'Schoepf', 'first_name': 'Albin', 'middle_name': 'F.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,2,,,,,,,,,,,,,,,,
KY003,CS,"9 infantry companies, 2 cavalry companies","[{'fullname': 'John S. Williams', 'last_name': 'Williams', 'first_name': 'John', 'middle_name': 'S.', 'rank': 'Colonel', 'suffix': ''}]",,,9,,,,,,,,,2,,,,,,,,
KY003,US,Detachments from 12 Ohio and Kentucky units,"[{'fullname': 'William Nelson', 'last_name': 'Nelson', 'first_name': 'William', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Joshua W. Sill', 'last_name': 'Sill', 'first_name': 'Joshua', 'middle_name': 'W.', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
KY004,CS,"Terry’s Texas Rangers, 7th Texas Cavalry, 1st Arkansas Battalion","[{'fullname': 'Thomas C. Hindman', 'last_name': 'Hindman', 'first_name': 'Thomas', 'middle_name': 'C.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,1,,,,,,,,,,,,
KY004,US,32nd Indiana Volunteer Infantry Regiment,"[{'fullname': 'August Willich', 'last_name': 'Willich', 'first_name': 'August', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,1,,,,,,,,,,,,,,,,,,
KY005,CS,Army of Southwestern Virginia,"[{'fullname': 'Humphrey Marshall', 'last_name': 'Marshall', 'first_name': 'Humphrey', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
KY005,US,"18th Brigade, Army of the Ohio","[{'fullname': 'James Garfield', 'last_name': 'Garfield', 'first_name': 'James', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
KY006,CS,"1st and 2nd Brigades, Crittenden’s Division","[{'fullname': 'George B. Crittenden', 'last_name': 'Crittenden', 'first_name': 'George', 'middle_name': 'B.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Felix K. Zollicoffer', 'last_name': 'Zollicoffer', 'first_name': 'Felix', 'middle_name': 'K.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,2,,,,,,,,,,,,,,,,
KY006,US,"Brig. Gen. Albin Schoepf’s Brigade, 1st Division, Army of the Ohio","[{'fullname': 'George H. Thomas', 'last_name': 'Thomas', 'first_name': 'George', 'middle_name': 'H.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
KY007,CS,Army of Kentucky,"[{'fullname': 'E. Kirby Smith', 'last_name': 'Smith', 'first_name': 'E.', 'middle_name': 'Kirby', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
KY007,US,"1st and 2nd Brigades, Army of Kentucky","[{'fullname': 'William Nelson', 'last_name': 'Nelson', 'first_name': 'William', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,2,,,,,,,,,,,,,,,,
KY008,CS,Army of the Mississippi,"[{'fullname': 'James R. Chalmers', 'last_name': 'Chalmers', 'first_name': 'James', 'middle_name': 'R.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Braxton Bragg', 'last_name': 'Bragg', 'first_name': 'Braxton', 'middle_name': '', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
KY008,US,Union garrison,"[{'fullname': 'Cyrus L. Dunham', 'last_name': 'Dunham', 'first_name': 'Cyrus', 'middle_name': 'L.', 'rank': 'Colonel', 'suffix': ''}, {'fullname': 'John T. Wilder', 'last_name': 'Wilder', 'first_name': 'John', 'middle_name': 'T.', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
KY009,CS,Army of the Mississippi,"[{'fullname': 'Braxton Bragg', 'last_name': 'Bragg', 'first_name': 'Braxton', 'middle_name': '', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
KY009,US,Army of the Ohio,"[{'fullname': 'Don Carlos Buell', 'last_name': 'Buell', 'first_name': 'Don', 'middle_name': 'Carlos', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
KY010,CS,"3rd, 7th, 8th, and 12th Regiments, Kentucky Cavalry","[{'fullname': 'Nathan Bedford Forrest', 'last_name': 'Forrest', 'first_name': 'Nathan', 'middle_name': 'Bedford', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,4,,,,,,,,,,,,
KY010,US,"Union garrison (8th Colored Heavy Artillery, 16th Kentucky Cavalry, and Companies C, H, and K, 122nd Illinois Infantry) and Gunboats: USS Peosta – Tinclad Side Wheel Steamer, USS Paw Paw (Gunboat #31) – Tinclad Center Wheel Steamer","[{'fullname': 'Stephen G. Hicks', 'last_name': 'Hicks', 'first_name': 'Stephen', 'middle_name': 'G.', 'rank': 'Colonel', 'suffix': ''}, {'fullname': 'James W. Shirk', 'last_name': 'Shirk', 'first_name': 'James', 'middle_name': 'W.', 'rank': 'Lieutenant Commander', 'suffix': ''}]",,,3,,,,,1,,,,,,,1,,,,,
KY011,CS,Morgan’s Division,"[{'fullname': 'John Hunt Morgan', 'last_name': 'Morgan', 'first_name': 'John', 'middle_name': 'Hunt', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
KY011,US,"168th Regiment Ohio Volunteer Infantry, 171st Ohio National Guard, Kentucky Harrison County Home Guards","[{'fullname': 'Stephen G. Burbridge', 'last_name': 'Burbridge', 'first_name': 'Stephen', 'middle_name': 'G.', 'rank': 'Brigadier General', 'suffix': ''}]",,3,,,,,,,,,,,,,,,,,,
LA001,CS,Garrisons of Forts Jackson and St. Philip Confederate River Defense Fleet,"[{'fullname': 'Johnson K. Duncan', 'last_name': 'Duncan', 'first_name': 'Johnson', 'middle_name': 'K.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'John K. Mitchell', 'last_name': 'Mitchell', 'first_name': 'John', 'middle_name': 'K.', 'rank': 'Flag Officer', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA001,US,West Gulf Blockading Squadron,"[{'fullname': 'David G. Farragut', 'last_name': 'Farragut', 'first_name': 'David', 'middle_name': 'G.', 'rank': 'Flag Officer', 'suffix': ''}, {'fullname': 'David Dixon Porter', 'last_name': 'Porter', 'first_name': 'David', 'middle_name': 'Dixon', 'rank': 'Commodore', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA002,CS,New Orleans garrison,"[{'fullname': 'Mansfield Lovell', 'last_name': 'Lovell', 'first_name': 'Mansfield', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA002,US,West Gulf Blockading Squadron and the Department of the Gulf,"[{'fullname': 'David G. Farragut', 'last_name': 'Farragut', 'first_name': 'David', 'middle_name': 'G.', 'rank': 'Flag Officer', 'suffix': ''}, {'fullname': 'Benjamin F. Butler', 'last_name': 'Butler', 'first_name': 'Benjamin', 'middle_name': 'F.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA003,CS,Breckinridge’s Division; ram CSS Arkansas,"[{'fullname': 'John C. Breckinridge', 'last_name': 'Breckinridge', 'first_name': 'John', 'middle_name': 'C.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Henry K. Stevens', 'last_name': 'Stevens', 'first_name': 'Henry', 'middle_name': 'K.', 'rank': 'Lieutenant', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,1,
LA003,US,Baton Rouge Garrison; Division of Flotilla in Western Waters,"[{'fullname': 'Thomas Williams', 'last_name': 'Williams', 'first_name': 'Thomas', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'William D. Porter', 'last_name': 'Porter', 'first_name': 'William', 'middle_name': 'D.', 'rank': 'Commander', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA004,CS,Partisan rangers,"[{'fullname': 'Phillippe Landry', 'last_name': 'Landry', 'first_name': 'Phillippe', 'middle_name': '', 'rank': 'Captain', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA004,US,West Gulf Blockading Squadron,"[{'fullname': 'David G. Farragut', 'last_name': 'Farragut', 'first_name': 'David', 'middle_name': 'G.', 'rank': 'Rear Admiral', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA005,CS,"18th Louisiana Infantry Regiment, Crescent Regiment, Ralston's Battery, 33rd Louisiana Infantry Regiment, Terre Bonne Regiment Louisiana Militia, Semmes's Battery, and 2nd Louisiana Cavalry Regiment","[{'fullname': 'Alfred Mouton', 'last_name': 'Mouton', 'first_name': 'Alfred', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,4,,,,,,1,,,,,2,,,,,,,
LA005,US,"Department of the Gulf, Reserve Brigade","[{'fullname': 'Godfrey Weitzel', 'last_name': 'Weitzel', 'first_name': 'Godfrey', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA006,CS,Army of Western Louisiana,"[{'fullname': 'Richard Taylor', 'last_name': 'Taylor', 'first_name': 'Richard', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
LA006,US,"XIX Army Corps, Department of the Gulf and the USS Clifton","[{'fullname': 'Nathaniel P. Banks', 'last_name': 'Banks', 'first_name': 'Nathaniel', 'middle_name': 'P.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Frederick Crocker', 'last_name': 'Crocker', 'first_name': 'Frederick', 'middle_name': '', 'rank': 'Captain', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,1,
LA007,CS,Army of Western Louisiana,"[{'fullname': 'Richard Taylor', 'last_name': 'Taylor', 'first_name': 'Richard', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
LA007,US,"4th Division, XIX Corps, Department of the Gulf, and Naval Forces in Berwick Bay","[{'fullname': 'Cuvier Grover', 'last_name': 'Grover', 'first_name': 'Cuvier', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'A.P. Cooke', 'last_name': 'Cooke', 'first_name': 'A.P.', 'middle_name': '', 'rank': 'Lieutenant Commander', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
LA008,CS,Army of Western Louisiana,[],,,,,,,1,,,,,,,,,,,,,
LA008,US,"XIX Corps, Department of the Gulf","[{'fullname': 'Nathaniel P. Banks', 'last_name': 'Banks', 'first_name': 'Nathaniel', 'middle_name': 'P.', 'rank': 'Major General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
LA009,CS,Elements of the Port Hudson Garrison,"[{'fullname': 'Frank P. Powers', 'last_name': 'Powers', 'first_name': 'Frank', 'middle_name': 'P.', 'rank': 'Colonel', 'suffix': ''}, {'fullname': 'William R. Miles', 'last_name': 'Miles', 'first_name': 'William', 'middle_name': 'R.', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
